Candidate,Campaign.Committee.Name.Cleaned,Election.Year,Incumbent,Elected.Office,Political.Party,City.Council,No Longer Running
Larry King,Friends To Elect Larry King for Sheriff,2019,No,Sheriff,Democrat,,
S Archye Leacock,9th district for S Archye Leacock,2019,No,Council District 9,Democrat,District,
Allan Domb,Allan Domb for City Council,2019,Yes,Council At-Large,Democrat,At-Large,
Asa Khalif,Asa Khalif For City Council,2019,No,Council At-Large,Democrat,At-Large,
Hena Veit,Campaign To Elect Hena Veit,2019,No,Council At-Large,Democrat,At-Large,
Dennis Lee,Citizens for Dennis Lee,2019,No,City Commissioner,Democrat,,
Jewell Williams,Citizens For Jewell Williams,2019,Yes,Sheriff,Democrat,,
Omar Sabir,Citizens for Omar Sabir,2019,No,City Commissioner,Democrat,,
Sherman Toppin,Committee to Elect Sherman Toppin for Judge,2019,No,Common Pleas Court,Democrat,,
Daniel Orsino,Daniel Orsino,2019,No,Council District 1,Republican,District,
Lisa Deeley,DEELEY 15,2019,Yes,City Commissioner,Democrat,,
Ronald Donatucci,DONATUCCI 2015 COMMITTEE,2019,Yes,Register of Wills,Democrat,,
Fareed Abdullah,Fareed Abdullah,2019,No,Council At-Large,Democrat,At-Large,
Al Schmidt,Friends of Al Schmidt,2019,Yes,City Commissioner,Republican,,
Andrew McGinley,Friends of Andrew McGinley,2019,No,Council At-Large,Liberal Independent,At-Large,
Billy Ciangliani,Friends of Billy for Philly,2019,No,Mayor,Republican,,
Billy Thompson,Friends of Billy Thompson,2019,No,Council At-Large,Democrat,At-Large,
Daphne Goggins,Friends of Daphne Goggins,2019,No,Mayor,Republican,,1
Drew Murray,Friends of Drew Murray,2019,No,Council At-Large,Republican,At-Large,
Erika Almiron,Friends of Erika Almiron,2019,No,Council At-Large,Democrat,At-Large,
Irina Goldstein,Friends of Irina M Goldstein,2019,No,Council At-Large,Republican,At-Large,
Karla Cruel,Friends of Karla Cruel,2019,No,Council District 4,Democrat,District,1
Malika Rahman,Friends Of Malika Rahman ,2019,No,Sheriff,Democrat,,
Mark Ross,friends of Mark Ross,2019,No,Council At-Large,Democrat,At-Large,
Marwan Kreidie,Friends of Marwan Kreidie,2019,No,City Commissioner,Democrat,,
Pete Smith,Friends of Pete Smith,2019,No,Council District 6,Republican,District,
Rochelle Bilal,Friends of Rochelle Bilal,2019,No,Sheriff,Democrat,,
Ron Adams,Friends Of Ron Adams,2019,No,Council District 4,Democrat,District,
Wade Albert,Friends of Wade Albert,2019,No,Common Pleas Court,Democrat,,
Lou Lanni,Friends to Elect Lou Lanni,2019,No,Council District 1,Democrat,District,
Jeannette Geter,JEANNETTE R GETER,2019,No,Council District 4,Democrat,District,
Kahlil Williams,Kahlil for Philly,2019,No,City Commissioner,Democrat,,
Jim Kenney,Kenney for Philadelphia,2019,Yes,Mayor,Democrat,,
Moira Bohannon,Moira Votes,2019,No,City Commissioner,Democrat,,
Taras Smerechanskyy,TARAS FOR PA,2019,No,Council District 10,Democrat,District,
George Twardy,Twardy for Judge,2019,No,Common Pleas Court,,,
Luigi Borda,Vote Borda,2019,No,City Commissioner,Democrat,,
Katherine Gilmore Richardson,Vote Kathy for Philly,2019,No,Council At-Large,Democrat,At-Large,
Jennifer Devor,Votes4Philly,2019,No,City Commissioner,Democrat,,
Anthony Hardy Williams,Williams for Mayor,2019,No,Mayor,Democrat,,
Matt Wolfe,Matthew Wolfe for City Council,2019,No,Council At-Large,Republican,At-Large,
Alan Butkovitz,Friends of Alan Butkovitz,2019,No,Mayor,Democrat,,
Joe Diorio,Joe Diorio for City Council,2019,No,Council At-Large,Democrat,,
